"Commune","Discipline","Catégorie d'âge","Type de déficience accueillie","Structure","Contact structure","Infos complémentaires","saison"
"PLAINTEL","Aïkido","Tout âge","Motrice - Visuelle - Auditif - Mental - Psychique","Aïkido club de Plaintel","06 71 67 75 14
christophe.le-carboulec@mfacteur.fr",,"2016/2017"
"LAMBALLE","Aïkido","Tout âge","Motrice - Visuelle - Auditif - Mental - Psychique","Aïkido de Penthièvre Lamballe","02 96 34 71 74
serge.pinochet@sfr.fr",,"2016/2017"
"PERROS GUIREC","Aïkido","Tout âge","Motrice - Visuelle - Auditif - Mental - Psychique","Aïkido Aouen Perros Guirec","06 07 40 79 67 
prigent.gille@wanadoo.fr",,"2016/2017"
"MERDRIGNAC","Aïkido","Tout âge","Motrice - Visuelle - Auditif - Mental - Psychique","Aïkido Merdrignac","06 42 84 46 01
jonathan.chabert2@gmail.com",,"2016/2017"
"SAINT BRIEUC","Aïkido","Tout âge","Motrice - Visuelle - Auditif - Mental - Psychique","Aïki-club Saint Brieuc","06 68 42 26 95 bertrand_berthelot@orange.fr",,"2016/2017"
"PORDIC","Aïkido","Tout âge","Motrice - Visuelle - Auditif - Mental - Psychique","Aïkido de l'Ic","02 96 74 79 45
georgerouxel@orange.fr",,"2016/2017"
"DINAN","Aïkido","Tout âge","Motrice - Visuelle - Auditif - Mental - Psychique","Aïkido Dinan Armor","02 96 84 59 10
familitouti@orange.fr",,"2016/2017"
"LOUDEAC","Aïkido","A partir de 7 ans","Motrice - Visuelle - Auditif - Mental - Psychique","Aïkido Club Loudéac","06 21 34 53 36
olivier.pichon450@orange.fr",,"2016/2017"
"SAINT BRIEUC","Athlétisme","Adultes","Visuelle - Auditif - Mental - Psychique","Union Athlétique des Côtes d'Armor","06 10 19 13 90
secretariat-uaca@orange.fr","Section Handisport","2016/2017"
"GUINGAMP","Athlétisme","Adolescents -  adultes- Seniors","Mental - Psychique","Trégor Goelo Athlétisme","06 82 84 13 80
Gilbert.lefloch@orange.fr","Section Sport Adapté","2016/2017"
"TREMARGAT","Aviron / Canoë kayak","Enfants - Adolescents - Adultes","Motrice - Mental - Psychique","Base nature de Trémargat","nautiquetremargat@wanadoo.fr 
02 96 36 53 89","Terrain accidenté non accessible aux PMR. Accueil uniquement groupes","2016/2017"
"SAINT BRIEUC","Badminton","Tout âge","Motrice - Auditif","Amicale Laïque badminton  club briochin","02 96  94 34 81 
badsaintbrieuc@yahoo.fr",,"2016/2017"
"PORDIC","Badminton","Adultes - Seniors","Motrice","Badminton'ic","07 82 66 64 82
badmintonic@gmail.com",,"2016/2017"
"HILLION","Balade équithérapie","Tout âge","Visuelle - Auditif - Mental - Psychique","Poney Club du Gouet","06 62 47 19 40
lenepvou.maud@9business.fr",,"2016/2017"
"LAMBALLE","Baptême / Initiation conduite de kart","Tout âge","Visuelle - Auditif - Mental","GP Circuit Lamballe","06 87 52 04 53
gp.circuit@wanadoo.fr",,"2016/2017"
"LANRODEC","Basket","Enfants - Adolescents","Mental - Psychique","Club Omnisport de Lanrodec","06 88 53 22 96
ianel13@yahoo.fr","Section Sport Adapté","2016/2017"
"PLAINTEL","Basket / Basket fauteuil","Enfants - Adultes - Seniors","Mental - Motrice","Plaintel Sport Basket","06 16 17 07 82
lecollengwenola@yahoo.fr","Section Handisport jeunes","2016/2017"
"LANGUEUX","Basket ball","Adultes","Mental - Psychique","Langueux Basket Club","06 76 51 02 84
langueuxbc@orange.fr","Section Sport Adapté","2016/2017"
"QUINTIN","Basket ball","Adolescents -  adultes- Seniors","Mental - Psychique","Culture Loisirs Adaptés Plaintel","07 83 74 22 83
clap2209@gmail.com","Club Sport Adapté","2016/2017"
"LANNION","Basket ball fauteuil","À partir de 15 ans - Adultes","Motrice","Club Trégorrois Handisport","06 37 78 11 50
gerard.guivarch@wanadoo.fr","Club Handisport","2016/2017"
"SAINT BRIEUC","Boccia","Adultes - Seniors","Auditif - Motrice","Saint Brieuc Handisport","06 21 06 56 13
stbrieuchandisport@gmail.com","Club Handisport","2016/2017"
"DINAN","Boccia","Tout âge","Motrice","Din'handisport","06 23 46 24 02
dinhandisport@gmail.com","Club Handisport","2016/2017"
"LOUDEAC","Boccia","Adultes - Seniors","Motrice - Visuelle - Auditif","Club Loudéac Handisport","06 42 48 48 00
clubloudeachandisport@yahoo.fr","Club Handisport","2016/2017"
"QUEVERT","Boule bretonne","Adultes - Seniors","Auditif - Motrice - Mental - Psychique","Union bouliste Quévertoise","06 22 12 81 85
gilbert.mousseaux@wanadoo.fr",,"2016/2017"
"ERQUY","Char à voile","Enfants - Adolescents -Adultes","Motrice - Visuelle - Auditif - Mental - Psychique","Centre Nautique d'Erquy","02 96 72 32 62
cnerquy@gmail.com","Individuel ou groupes : se renseigner","2016/2017"
"SAINT BRIEUC","Cyclisme","Tout âge","Contacter le club","Saint Brieuc Handisport","06 21 06 56 13
stbrieuchandisport@gmail.com","Club Handisport","2016/2017"
"JUGON LES LACS","Découverte  de la pêche au coup","Tout âge","Motrice - Visuelle - Auditif - Mental - Psychique","Maison Pêche et Nature des Côtes d'Armor","02 96 50 60 04
contact@maisonpechenature.com",,"2016/2017"
"JUGON LES LACS","Découverte  de la pêche carpe","Adolescents – Adultes- Senior","Motrice - Visuelle - Auditif - Mental - Psychique","Maison Pêche et Nature des Côtes d'Armor","02 96 50 60 04
contact@maisonpechenature.com",,"2016/2017"
"JUGON LES LACS","Découverte environnement","Tout âge","Motrice - Visuelle - Auditif - Mental - Psychique","Maison Pêche et Nature des Côtes d'Armor","02 96 50 60 04
contact@maisonpechenature.com",,"2016/2017"
"GUINGAMP","Echec","Tout âge","Visuelle - Auditif - Motrice","Echiquier Guingampais","02 96 44 47 15
gwengampechedou@gmail.com",,"2016/2017"
"PLOURIVO","Equitation","Tout âge","Motrice - Visuelle - Auditif - Mental - Psychique","Les chevaux du Coat","06 84 55 61 91
gwenola.benis@orange.fr",,"2016/2017"
"PLAINTEL","Equitation","Adolescents-  Adultes- Seniors","Mental - Psychique","Culture Loisirs Adaptés Plaintel","07 83 74 22 83
clap2209@gmail.com","Club Sport Adapté","2016/2017"
"SAINT CAST LE GUILDO","Equitation /  Promenade en calèche","Tout âge","Motrice - Visuelle - Auditif - Mental - Psychique","Centre équestre Saint Cast le Guildo","02 96 41 95 01 / 06 79 43 36 86
cat.morel@orange.fr","Accueil individuel ou groupe","2016/2017"
"PLAINTEL","Equitation / Attelage / Voltige /manque un espace  Balade","Tout âge","Auditif - Motrice - Mental - Psychique","Centre équestre Les Mauriers","02 96 32 17 70
 c.equestre@epsms-lesmauriers.fr",,"2016/2017"
"PLOUMILLIAU","Equitation sur poney Shetland","Enfants","Motrice - Visuelle - Auditif - Mental - Psychique","Poney club de Kerboriou","02 96 35 25 38 / 06 62 31 35 23
pcdekerboriou@aol.com",,"2016/2017"
"SAINT BRIEUC","Escrime","Tout âge","Motrice et visuelle","Cercle de l'épée","02 96 75 14 31
prigentlegoardet@orange.fr","Section Handisport","2016/2017"
"LANNION","Escrime","Tout âge à partir de 8 ans","Auditif - Motrice - Mental - Psychique","Asptt Lannion escrime","06 25 70 86 86
jeanlouis.legros@sfr.fr",,"2016/2017"
"TREBEURDEN","Excursion en  mer","Tout âge","Auditif - Motrice - Mental - Psychique","Centre activités Plongée","02 96 23 66 71
ronan@plongeecap.com","Pour la déficience Auditif  : pas de personnes sachant signer","2016/2017"
"SAINT BRIEUC","Expression corporelle","Adolescents -  Adultes - Seniors","Mental - Psychique","Association sport adapté briochine","06 95 22 33 30
asabriochine@gmail.com","Club Sport Adapté","2016/2017"
"EVRAN - DINAN","Foot fauteuil
Électrique","Tout âge","Motrice","Din'handisport","06 23 46 24 02
dinhandisport@gmail.com","Club Handisport","2016/2017"
"SAINT BRIEUC","Football","Adolescents -  Adultes - Seniors","Mental - Psychique","Association sport adapté briochine","06 95 22 33 30
asabriochine@gmail.com","Club Sport Adapté","2016/2017"
"SAINT BRIEUC","Futsal","Adultes","Auditif","Association sportive et culturelle des sourds de Saint Brieuc","president.ascsstbrieuc@gmail.com","Club Handisport","2016/2017"
"LANGUEUX","Glisse sur glace","Enfants - Adolescents -Adultes","Motrice - Visuelle - Auditif - Mental - Psychique","Club des Sports de Glace d'Armor","06 21 09 30 50
csga22@outlook.fr",,"2016/2017"
"TREGASTEL","Grimpe d'arbre","Tout âge","Motrice - Visuelle -  Auditif - Mental - Psychique","Utopiarbre","06 60 56 71 62
utopiarbre@gmail.com","Individuel,  familles,  groupes constitués","2016/2017"
"TREMARGAT","Grimpe d'arbre","Enfants - Adolescents - Adultes","Motrice - Mental - Psychique","Base nature de Trémargat","nautiquetremargat@wanadoo.fr 
02 96 36 53 89","Terrain accidenté non accessible aux PMR. Accueil uniquement groupes","2016/2017"
"GUINGAMP","Grimpe d'arbre / Escalade","Tout âge à partir de 7 ans","Visuelle - Auditif - Mental - Psychique","L'Arbre à Lutik","06 81 41 97 62 / 06 83 01 52 57
arbrealutik@gmail.com","Individuel ou groupes . Itinérance possible de l'activité sur le 22","2016/2017"
"LANNION","Gymnastique","Adolescents","Mental","Club gymnique de Lannion","06 81 68 73 43
gerard.gousset@laposte.net",,"2016/2017"
"QUEVERT","Gymnastique douce féminine","Adultes - Seniors","contacter le club","Gymnastique féminine les Quévertoises","06 21 05 54 92
Cerise.m@neuf.fr","ne rien noter","2016/2017"
"SAINT NICOLAS DU PELEM","Hand ball","Enfants - Adolescents - Adultes","Mental","Hand ball pelemois","06 01 28 43 96
melisslametiss@gmail.com 
 0522055@handball-france.eu","Section Sport Adapté","2016/2017"
"PLERIN","Judo","Enfants à partir de 6 ans","Motrice - Visuelle - Auditif - Mental - Psychique","Ecole Plérinaise d'Arts Martiaux","06 33 70 50 70
odilecholet@yahoo.fr",,"2016/2017"
"LOUARGAT","Judo","Tout âge","Visuelle - Auditif - Motrice","Lannion judo club du Trégor","06 84 89 70 51
legall.gil@orange.fr",,"2016/2017"
"LANNION","Judo","Enfants - Adolescents","Mental","Asptt Lannion Judo","02 96 05 83 83
aspttlannion.judo@orange.fr",,"2016/2017"
"PONTRIEUX","Judo / Chanbara /  Jujitsu","Tout âge","Visuelle - Auditif - Motrice*","Lannion judo club du Trégor","06 84 89 70 51
legall.gil@orange.fr","* accessible au handicap Motrice selon déficience. Se renseigner auprès du club","2016/2017"
"LANNION","Judo / Chanbara /  Jujitsu","Tout âge","Visuelle - Auditif - Motrice*","Lannion judo club du Trégor","06 84 89 70 51
legall.gil@orange.fr","* accessible au handicap Motrice selon déficience. Se renseigner auprès du club","2016/2017"
"PLOUAGAT","Judo / Taiso","Enfants - Adultes","Visuelle - Motrice - Mental - Psychique","Judo club du Leff","06 81 52 29 19 
stephanelatruffe@orange.fr",,"2016/2017"
"GUINGAMP","Judo / Taiso / Jujitsu","Enfants - Adultes","Visuelle - Motrice - Mental - Psychique","Judo club du Trieux","06 81 52 29 19
 stephanelatruffe@orange.fr",,"2016/2017"
"MINIHY TREGUIER","Judo Jujitsu Taiso","Tout âge","Visuelle - Motrice - Mental - Psychique","Dojo du Jaudy","06 81 52 29 19
contact@dojodujaudy.org",,"2016/2017"
"BOURBRIAC","Judo/ Chanbara / Jujitsu","Tout âge","Visuelle - Auditif - Motrice*","Lannion judo club du Trégor","06 84 89 70 51
legall.gil@orange.fr","* accessible au handicap Motrice selon déficience. Se renseigner auprès du club","2016/2017"
"ERQUY","Kayak","Enfants - Adolescents -Adultes","Motrice - Visuelle - Auditif - Mental - Psychique","Centre Nautique d'Erquy","02 96 72 32 62
cnerquy@gmail.com","Individuel ou groupes : se renseigner","2016/2017"
"LA ROCHE DERRIEN","Kayak / kayak de  mer","Tout âge","Motrice - Visuelle - Auditif - Mental - Psychique","La Roche Derrien canoë kayak","02 96 91 51 48 / 06 89 02 20 61
yann.lecarrer@gmail.com",,"2016/2017"
"TREGASTEL","Kayak de mer","Tout âge","Motrice - Visuelle -  Auditif - Mental - Psychique","Base nautique Trégastel","02 96 23 45 05
cntregastel@orange.fr","Accueil PMR possible mais délicat. Se renseigner","2016/2017"
"BEGARD","Lutte bretonne","Enfants - Adolescents -Adultes","Contacter le club","Skol Gouren Bear","06 22 99 05 77
 skolgourenbear@gmail.com",,"2016/2017"
"TREMARGAT","Marche nordique/ Balade nature /  Randonnée pédestre / Géocaching","Enfants - Adolescents - Adultes","Motrice - Mental - Psychique","Base nature de Trémargat","nautiquetremargat@wanadoo.fr 
02 96 36 53 89","Terrain accidenté non accessible aux PMR mais possibilité mise à disposition d'une joelette. Se renseigner. Accueil uniquement groupes","2016/2017"
"SAINT BRIEUC","Multisports","Enfants - Adolescents","Mental","Association sport adapté briochine","06 95 22 33 30
asabriochine@gmail.com","Club Sport Adapté","2016/2017"
"LANRODEC","Multisports","Section enfants  à partir de 8 ans. 
Section adolescents et adultes","Mental - Psychique","Club Omnisport de Lanrodec","06 88 53 22 96
ianel13@yahoo.fr","Section Sport Adapté","2016/2017"
"SAINT BRIEUC","Natation","Adolescents -  Adultes - Seniors","Mental - Psychique","Association sport adapté briochine","06 95 22 33 30
asabriochine@gmail.com","Club Sport Adapté","2016/2017"
"LOUDEAC","Natation","Adultes - Seniors","Visuelle - Auditif - Motrice","Club nautique du Pays de Loudéac","06 70 75 05 51 
aa.clubnautiquedeloudeac@sfr.fr","Section Handisport","2016/2017"
"SAINT BRIEUC","Natation","Tout âge","Visuelle - Auditif - Motrice","Saint Brieuc Handisport","06 21 06 56 13
stbrieuchandisport@gmail.com","Club Handisport","2016/2017"
"SAINT BRIEUC","Natation","Adolescents-  Adultes - Seniors","Mental","Culture Loisirs Adaptés Plaintel","07 83 74 22 83
clap2209@gmail.com","Club Sport Adapté","2016/2017"
"LOUDEAC","Natation","Adolescents -  Adultes","Motrice - Mental","Partageons tout","02 96 28 90 27
monique.josselin@wanadoo.fr","Club Handisport et Sport Adapté","2016/2017"
"LAMBALLE","Natation","Tout âge","Motrice - Visuelle - Auditif","Penthièvre handisport","02 96 34 33 03
francismorin22@orange.fr","Club Handisport","2016/2017"
"LANGUEUX","Parapente","Tout âge","Motrice - Visuelle - Auditif - Mental - Psychique","Ouest Parapente","06 07 81 88 12
ouestparapente@gmail.com",,"2016/2017"
"PLERIN","Parapente","Tout âge","Motrice - Visuelle - Auditif - Mental - Psychique","Les goélands d'Armor","06 50 79 91 42
erwan@goelandarmor.fr",,"2016/2017"
"TREMARGAT","Pêche","Enfants - Adolescents - Adultes","Motrice - Mental - Psychique","Base nature de Trémargat","nautiquetremargat@wanadoo.fr 
02 96 36 53 89","Terrain accidenté non accessible aux PMR. Accueil uniquement groupes","2016/2017"
"PLOUFRAGAN","Pétanque","Adultes - Seniors","Auditif - Motrice","Pétanque Ploufraganaise","06 64 83 40 55 / 06 15 85 05 32
jclr.leroux@free.fr",,"2016/2017"
"SAINT BRIEUC","Pétanque","Adolescents -  Adultes - Seniors","Mental - Psychique","Association sport adapté briochine","06 95 22 33 30
asabriochine@gmail.com","Club Sport Adapté","2016/2017"
"LAMBALLE","Pétanque","Enfants - Adolescents","Motrice - Visuelle - Auditif - Mental - Psychique","Pétanque Lamballaise","06 19 23 91 20
petanquelamballaise@laposte.net",,"2016/2017"
"SAINT BRIEUC","Pétanque","Adultes - Seniors","Auditif","Association sportive et culturelle des sourds de Saint Brieuc","president.ascsstbrieuc@gmail.com","Club Handisport","2016/2017"
"TREBEURDEN","Plongée","Tout âge à partir de 8 ans","Auditif - Motrice - Mental","Centre activités Plongée","02 96 23 66 71 
ronan@plongeecap.com","Pour la déficience Auditif  : pas de personnes sachant signer","2016/2017"
"GUINGAMP","Plongée","Tout âge à partir de 8 ans","Visuelle - Motrice - Mental - Psychique","Subaquatique club Guingampais","06 37 56 38 16
mignot.dom@wanadoo.fr","Pour la déficience Auditif : pas de personnes sachant signer. Section Handisport","2016/2017"
"SAINT QUAY PORTRIEUX","Plongée","Enfants - Adolescents - Adultes","Visuelle - Auditif - Motrice - Mental","Epave club de plongée","02 96 61 55 20 / 06 30 96 81 97 / 
06 32 29 60 32
info@clubepave.fr",,"2016/2017"
